AvailabilityMeasure	Goal	Indicator	IndicatorCode	IndicatorDescription	Tier	4_Afghanistan	8_Albania	12_Algeria	20_Andorra	24_Angola	28_Antigua and Barbuda	31_Azerbaijan	32_Argentina	36_Australia	40_Austria	44_Bahamas	48_Bahrain	50_Bangladesh	51_Armenia	52_Barbados	56_Belgium	64_Bhutan	68_Bolivia (Plurinational State of)	70_Bosnia and Herzegovina	72_Botswana	76_Brazil	84_Belize	90_Solomon Islands	96_Brunei Darussalam	100_Bulgaria	104_Myanmar	108_Burundi	112_Belarus	116_Cambodia	120_Cameroon	124_Canada	132_Cabo Verde	140_Central African Republic	144_Sri Lanka	148_Chad	152_Chile	156_China	170_Colombia	174_Comoros	178_Congo	180_Democratic Republic of the Congo	188_Costa Rica	191_Croatia	192_Cuba	196_Cyprus	203_Czechia	204_Benin	208_Denmark	212_Dominica	214_Dominican Republic	218_Ecuador	222_El Salvador	226_Equatorial Guinea	231_Ethiopia	232_Eritrea	233_Estonia	242_Fiji	246_Finland	250_France	262_Djibouti	266_Gabon	268_Georgia	270_Gambia	276_Germany	288_Ghana	296_Kiribati	300_Greece	308_Grenada	320_Guatemala	324_Guinea	328_Guyana	332_Haiti	340_Honduras	348_Hungary	352_Iceland	356_India	360_Indonesia	364_Iran (Islamic Republic of)	368_Iraq	372_Ireland	376_Israel	380_Italy	384_Côte d'Ivoire	388_Jamaica	392_Japan	398_Kazakhstan	400_Jordan	404_Kenya	408_Democratic People's Republic of Korea	410_Republic of Korea	414_Kuwait	417_Kyrgyzstan	418_Lao People's Democratic Republic	422_Lebanon	426_Lesotho	428_Latvia	430_Liberia	434_Libya	438_Liechtenstein	440_Lithuania	442_Luxembourg	450_Madagascar	454_Malawi	458_Malaysia	462_Maldives	466_Mali	470_Malta	478_Mauritania	480_Mauritius	484_Mexico	492_Monaco	496_Mongolia	498_Republic of Moldova	499_Montenegro	504_Morocco	508_Mozambique	512_Oman	516_Namibia	520_Nauru	524_Nepal	528_Netherlands	548_Vanuatu	554_New Zealand	558_Nicaragua	562_Niger	566_Nigeria	578_Norway	583_Micronesia (Federated States of)	584_Marshall Islands	585_Palau	586_Pakistan	591_Panama	598_Papua New Guinea	600_Paraguay	604_Peru	608_Philippines	616_Poland	620_Portugal	624_Guinea-Bissau	626_Timor-Leste	634_Qatar	642_Romania	643_Russian Federation	646_Rwanda	659_Saint Kitts and Nevis	662_Saint Lucia	670_Saint Vincent and the Grenadines	674_San Marino	678_Sao Tome and Principe	682_Saudi Arabia	686_Senegal	688_Serbia	690_Seychelles	694_Sierra Leone	702_Singapore	703_Slovakia	704_Viet Nam	705_Slovenia	706_Somalia	710_South Africa	716_Zimbabwe	724_Spain	728_South Sudan	729_Sudan	740_Suriname	748_Eswatini	752_Sweden	756_Switzerland	760_Syrian Arab Republic	762_Tajikistan	764_Thailand	768_Togo	776_Tonga	780_Trinidad and Tobago	784_United Arab Emirates	788_Tunisia	792_Turkey	795_Turkmenistan	798_Tuvalu	800_Uganda	804_Ukraine	807_North Macedonia	818_Egypt	826_United Kingdom of Great Britain and Northern Ireland	834_United Republic of Tanzania	840_United States of America	854_Burkina Faso	858_Uruguay	860_Uzbekistan	862_Venezuela (Bolivarian Republic of)	882_Samoa	887_Yemen	894_Zambia
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	10	10.1.1	C100101	10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population	"Tier II
"	0	2	0	0	0	0	0	2	0	2	0	0	2	2	0	2	2	2	0	0	2	0	0	0	2	0	0	2	0	2	0	0	0	2	0	2	2	2	0	0	0	2	2	0	2	2	2	2	0	2	2	2	0	0	0	2	2	2	2	0	0	2	0	2	0	0	2	0	0	2	0	0	2	2	2	0	2	2	2	2	0	2	2	0	0	2	2	0	0	0	0	2	2	0	0	2	0	0	0	2	2	2	0	0	0	0	2	2	2	2	0	2	2	2	0	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	2	2	0	2	2	2	2	2	0	0	0	2	2	2	0	0	0	0	0	0	0	2	0	0	0	2	2	2	0	2	0	2	0	0	0	0	2	2	0	2	2	2	0	0	0	0	2	0	0	2	2	2	2	2	2	2	2	2	0	0	0	0	2
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	10	10.4.1	C100401	"10.4.1 Labour share of GDP, comprising wages and social protection transfers"	"Tier II
"	0	0	0	0	0	0	3	0	18	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	18	0	0	0	0	2	0	0	0	0	0	0	18	0	18	18	0	18	0	0	0	0	0	0	0	18	0	18	18	0	0	0	0	18	0	0	18	0	0	2	0	0	0	18	18	0	0	0	0	18	0	18	0	0	18	0	0	0	0	18	0	0	0	0	0	18	0	0	0	18	18	0	0	2	0	0	18	0	0	18	0	10	1	0	0	0	0	0	0	0	18	0	18	0	0	0	18	0	0	0	0	0	0	0	2	8	18	18	0	0	4	0	8	0	0	0	0	1	0	0	0	0	0	0	0	18	0	18	0	0	4	18	0	0	0	0	18	18	0	0	0	0	0	0	0	0	18	0	0	0	2	15	0	18	0	18	0	0	0	2	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	10	"10.6.1, 16.8.1"	C200205	10.6.1 Proportion of members and voting rights of developing countries in international organizations	"Tier I
"	64	64	68	14	78	64	62	102	88	98	60	62	80	72	70	102	58	76	52	76	106	72	70	58	62	70	72	50	70	78	108	72	72	70	78	78	124	78	64	80	80	86	64	28	60	66	82	98	60	70	72	70	60	62	60	68	72	98	124	72	74	74	72	112	80	58	70	60	76	74	74	72	78	60	62	102	82	48	54	76	60	114	72	74	120	68	62	74	14	108	84	62	70	78	50	60	62	60	26	64	82	72	72	80	70	74	62	78	80	84	12	72	66	60	76	76	62	78	26	72	102	70	76	72	74	82	98	58	58	58	82	76	70	70	76	74	66	100	76	58	60	62	92	80	62	64	50	38	60	86	78	52	64	74	78	72	76	60	64	88	78	106	52	64	84	62	100	104	50	72	72	76	70	76	64	78	96	60	46	80	68	60	78	124	76	124	80	76	58	80	70	60	74
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	10	10.a.1	C100a01	10.a.1 Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff	"Tier I
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	10	10.b.1	C100b01	"10.b.1 Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"	"Tier I (ODA)/    Tier II (FDI)
"	17	17	17	0	17	17	20	17	17	17	0	5	17	17	11	17	17	17	17	17	17	17	17	0	7	17	17	12	17	17	17	17	17	17	17	17	17	17	17	17	17	17	16	17	11	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	14	17	17	17	17	17	17	17	17	17	17	17	21	17	17	17	17	17	17	17	17	17	15	17	12	10	16	17	17	17	17	17	17	11	17	17	17	0	17	17	14	17	17	11	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	19	0	9	7	17	14	17	17	0	17	24	17	17	17	17	0	17	17	15	17	17	17	17	6	17	17	17	17	17	17	17	28	17	17	11	17	17	34	17	17	17	12	17	17	17	17	17	17	17	17	17	17	17	17
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	10	10.c.1	C100c01	10.c.1 Remittance costs as a proportion of the amount remitted	"Tier II
"	1	3	3	0	3	0	3	0	0	0	0	0	3	3	0	0	0	3	3	3	3	0	0	0	3	1	0	3	1	1	0	3	0	3	0	0	3	3	1	3	0	1	3	1	0	0	1	0	0	3	3	3	0	3	3	3	3	0	0	0	0	3	3	0	3	0	0	0	3	0	3	3	3	2	0	3	3	0	0	0	0	0	3	3	0	3	3	3	0	0	0	3	1	3	3	3	2	0	0	3	0	1	3	3	0	3	0	0	0	3	0	0	3	0	3	3	0	1	0	3	0	3	0	3	0	3	0	0	0	0	3	3	1	3	3	3	3	0	0	0	0	3	0	3	0	0	0	0	0	0	3	3	0	3	0	0	3	0	3	3	3	0	1	1	3	3	0	0	1	3	3	2	3	0	0	3	3	0	0	3	3	1	3	0	3	0	0	0	3	0	3	3	3
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	11	"1.5.1, 11.5.1, 13.1.1"	C200303	"1.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"	"Tier II
"	0	609	0	0	350	168	15	426	0	15	0	0	0	15	342	0	198	531	0	96	0	105	186	0	15	540	0	0	198	0	0	99	0	777	0	689	0	888	189	0	0	579	30	0	195	0	0	15	189	0	966	684	126	324	0	0	210	0	0	258	0	0	30	15	0	30	0	149	537	30	257	0	501	0	0	0	0	333	0	15	0	0	0	162	0	324	282	384	0	30	15	270	357	294	0	0	45	0	0	0	0	279	15	30	180	258	0	0	309	981	0	378	0	0	177	447	0	0	0	621	0	189	15	462	315	0	15	75	81	75	648	501	243	630	771	0	0	15	24	303	0	0	0	36	189	204	213	0	0	0	429	363	282	225	0	15	141	30	15	15	0	123	0	0	0	57	15	15	258	0	0	312	153	231	0	381	525	0	45	507	195	0	30	0	171	0	393	465	15	588	144	258	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	11	"1.5.2, 11.5.2"	C010502	1.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)	"Tier II
"	0	382	0	0	218	96	8	274	0	8	0	0	0	8	210	0	114	336	0	54	0	58	106	0	8	334	0	0	106	0	0	54	0	492	0	438	0	566	108	0	0	360	16	0	104	0	0	8	112	0	618	434	70	198	0	0	120	0	0	156	0	0	18	8	0	16	0	84	338	16	154	0	316	0	0	0	0	208	0	8	0	0	0	90	0	190	168	230	0	16	8	156	222	176	0	0	24	0	0	0	0	164	8	16	110	152	0	0	186	634	0	232	0	0	98	280	0	0	0	396	0	106	8	290	190	0	8	40	44	40	412	308	140	394	496	0	0	8	14	178	0	0	0	22	108	118	122	0	0	0	264	216	168	134	0	8	82	16	8	8	0	70	0	0	0	32	8	8	162	0	0	188	86	134	0	236	328	0	24	312	104	0	16	0	94	0	238	290	8	369	78	160	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	11	"1.5.3, 11.b.1, 13.1.2"	C200304	1.5.3 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030	"Tier I
"	2	0	1	0	0	0	0	1	2	1	0	1	2	2	1	0	3	1	0	0	1	0	0	0	2	0	1	2	0	1	1	1	0	2	0	1	1	1	0	0	1	1	3	1	0	2	1	1	0	2	2	0	0	2	0	0	2	2	2	1	1	2	1	2	2	0	2	0	3	1	0	0	1	2	0	2	2	1	1	1	0	2	1	1	2	1	1	2	0	2	0	1	0	1	1	0	0	0	0	0	0	1	2	2	0	1	0	0	1	3	0	1	0	0	1	3	0	0	1	1	2	1	3	0	2	1	3	0	0	0	2	1	1	1	2	1	2	2	0	0	1	2	0	2	2	0	0	0	0	0	1	0	1	0	0	2	1	2	1	1	1	1	0	0	0	1	3	2	0	0	1	1	1	1	1	2	2	0	0	0	1	0	0	2	2	1	1	1	0	0	1	1	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	11	"1.5.4, 11.b.2, 13.1.3"	C200305	1.5.4 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	"Tier II
"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	11	11.1.1	C110101	"11.1.1 Proportion of urban population living in slums, informal settlements or inadequate housing"	"Tier I
"	1	0	0	0	4	0	0	4	0	0	0	0	4	1	0	0	0	4	0	0	4	1	0	0	0	2	2	0	2	4	0	0	4	0	4	2	4	4	3	3	3	2	0	0	0	0	4	0	0	4	2	2	2	4	0	0	0	0	0	1	2	0	2	0	4	0	0	2	4	3	3	4	2	0	0	4	4	0	4	0	0	0	4	2	0	0	3	4	0	0	0	0	2	2	3	0	2	0	0	0	0	4	4	0	0	4	0	1	0	3	0	3	0	0	4	4	0	4	0	4	0	0	0	3	4	4	0	0	0	0	4	2	0	2	3	4	0	0	2	0	0	0	0	4	0	2	0	0	1	2	4	0	0	2	0	0	4	0	3	4	4	0	1	1	2	1	0	0	2	0	3	2	0	2	0	1	4	0	0	4	0	0	4	0	4	0	3	0	0	2	0	2	4
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	11	11.5.2	C110502	"11.5.2 Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters"	"Tier II
"	0	96	0	0	96	64	8	40	0	8	0	0	0	8	72	0	72	72	0	40	0	48	72	0	8	104	0	0	104	0	0	48	0	104	0	88	0	104	72	0	0	104	16	0	104	0	0	8	56	0	104	88	56	72	0	0	80	0	0	64	0	0	8	8	0	16	0	64	80	16	72	0	72	0	0	0	0	56	0	8	0	0	0	72	0	104	80	104	0	16	8	96	64	80	0	0	24	0	0	0	0	88	8	16	40	80	0	0	80	80	0	80	0	0	80	72	0	0	0	72	0	80	8	72	80	0	8	40	40	40	80	104	88	104	72	0	0	8	8	96	0	0	0	8	72	72	80	0	0	0	88	104	80	64	0	8	48	16	8	8	0	48	0	0	0	24	8	8	40	0	0	80	64	80	0	72	88	0	24	104	104	0	16	0	80	0	96	80	8	88	72	48	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	11	11.6.1	C110601	"11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities"	"Tier II
"	0	1	1	1	1	1	0	1	9	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	2	0	1	2	1	0	2	0	9	0	13	0	0	0	1	1	4	0	1	2	1	0	1	2	8	0	1	0	0	0	1	1	0	0	3	0	1	1	0	0	0	0	1	1	4	1	1	0	0	1	0	1	1	0	1	1	0	2	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	43	1	1	0	1	0	0	0	0	0	1	1	0	3	1	2	1	1	0	1	0	0	1	0	0	14	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	1	2	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	1	2	1	1	1	0	0	0	0	1	1
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	11	11.6.2	C110602	11.6.2 Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)	"Tier I
"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	12	12.1.1	C120101	12.1.1 Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies	"Tier II
"	0	0	0	0	0	4	2	3	0	3	0	2	0	0	0	3	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	2	2	2	2	2	2	0	0	3	4	3	0	3	0	0	0	3	2	0	0	2	0	0	0	3	3	0	0	0	0	4	0	0	0	0	0	0	0	0	3	4	0	0	2	0	0	0	3	4	4	2	0	3	4	2	0	3	0	0	2	0	0	4	0	0	0	2	0	2	0	2	2	0	0	0	3	2	0	2	2	2	0	0	0	3	0	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	4	3	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	4	3	0	0	2	2	0	0	4	3	2	0	0	2	0	0	0	2	2	0	2	0	0	0	0	2	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	12	"12.2.2, 8.4.2"	C200203	"8.4.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"	"Tier I
"	765	888	912	0	693	582	861	816	894	909	642	723	864	843	792	918	723	810	918	864	840	690	612	777	894	861	801	918	837	840	972	690	702	864	582	873	918	879	702	783	723	831	918	786	861	918	762	915	636	810	804	807	657	837	699	912	678	873	915	528	789	831	687	915	834	609	915	504	843	771	645	540	765	909	786	915	915	915	792	915	966	915	864	807	915	873	870	861	861	918	819	870	747	888	633	846	618	810	0	867	915	699	807	915	672	672	807	729	861	864	0	843	915	570	915	879	858	852	0	789	915	630	915	753	855	915	915	603	324	396	915	792	801	753	837	852	915	915	516	609	801	909	915	828	0	0	0	0	699	858	900	588	594	639	894	915	918	915	486	912	792	918	123	267	807	693	918	894	894	810	918	771	669	717	897	891	918	702	432	702	918	891	915	918	900	918	690	864	810	858	687	867	858
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	12	12.4.1	C120401	"12.4.1 Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement"	"Tier I
"	4	4	3	2	2	4	3	4	4	4	3	4	3	4	3	4	2	4	4	4	4	4	2	2	4	2	4	3	4	4	4	4	3	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	2	4	4	4	4	4	4	4	4	3	4	1	4	4	4	2	4	4	3	4	4	4	2	4	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	2	4	4	4	3	4	4	4	4	4	4	4	3	4	4	2	4	4	4	4	4	3	4	3	4	4	3	4	4	4	4	4	4	1	4	4	4	4	4	3	4	1	4	4	4	4	3	2	4	4	4	4	4	4	4	4	1	4	4	4	4	4	4	2	4	4	4	4	4	3	3	2	2	4	4	4	3	4	4	1	4	4	2	4	4	4	4
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	13	"1.5.1, 11.5.1, 13.1.1"	C200303	"1.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"	"Tier II
"	0	609	0	0	350	168	15	426	0	15	0	0	0	15	342	0	198	531	0	96	0	105	186	0	15	540	0	0	198	0	0	99	0	777	0	689	0	888	189	0	0	579	30	0	195	0	0	15	189	0	966	684	126	324	0	0	210	0	0	258	0	0	30	15	0	30	0	149	537	30	257	0	501	0	0	0	0	333	0	15	0	0	0	162	0	324	282	384	0	30	15	270	357	294	0	0	45	0	0	0	0	279	15	30	180	258	0	0	309	981	0	378	0	0	177	447	0	0	0	621	0	189	15	462	315	0	15	75	81	75	648	501	243	630	771	0	0	15	24	303	0	0	0	36	189	204	213	0	0	0	429	363	282	225	0	15	141	30	15	15	0	123	0	0	0	57	15	15	258	0	0	312	153	231	0	381	525	0	45	507	195	0	30	0	171	0	393	465	15	588	144	258	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	13	"1.5.3, 11.b.1, 13.1.2"	C200304	1.5.3 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030	"Tier I
"	2	0	1	0	0	0	0	1	2	1	0	1	2	2	1	0	3	1	0	0	1	0	0	0	2	0	1	2	0	1	1	1	0	2	0	1	1	1	0	0	1	1	3	1	0	2	1	1	0	2	2	0	0	2	0	0	2	2	2	1	1	2	1	2	2	0	2	0	3	1	0	0	1	2	0	2	2	1	1	1	0	2	1	1	2	1	1	2	0	2	0	1	0	1	1	0	0	0	0	0	0	1	2	2	0	1	0	0	1	3	0	1	0	0	1	3	0	0	1	1	2	1	3	0	2	1	3	0	0	0	2	1	1	1	2	1	2	2	0	0	1	2	0	2	2	0	0	0	0	0	1	0	1	0	0	2	1	2	1	1	1	1	0	0	0	1	3	2	0	0	1	1	1	1	1	2	2	0	0	0	1	0	0	2	2	1	1	1	0	0	1	1	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	13	"1.5.4, 11.b.2, 13.1.3"	C200305	1.5.4 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	"Tier II
"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	14	14.4.1	C140401	14.4.1 Proportion of fish stocks within biologically sustainable levels	"Tier I
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	14	14.5.1	C140501	14.5.1 Coverage of protected areas in relation to marine areas	"Tier I
"	0	59	59	0	59	59	59	59	59	0	59	59	59	0	59	59	0	0	57	0	59	59	59	59	59	59	0	0	59	2	59	59	0	59	0	59	59	59	59	2	2	59	59	59	59	0	0	59	59	59	59	59	59	0	57	59	59	59	59	59	59	59	59	59	2	59	59	59	59	59	2	57	59	0	59	59	59	59	57	59	59	59	2	59	59	59	2	59	59	59	59	0	0	59	0	59	59	59	0	59	0	59	0	59	59	0	59	59	59	59	2	0	0	59	59	59	59	59	57	0	59	59	59	59	0	2	59	59	59	59	59	59	59	0	2	59	59	59	59	59	59	59	59	0	59	59	59	0	59	59	59	0	59	59	59	0	59	59	57	59	0	59	0	59	59	0	59	0	59	0	59	2	59	59	59	59	59	59	2	0	59	0	59	59	59	2	0	59	0	59	59	59	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	14	14.a.1	C140a01	14.a.1 Proportion of total research budget allocated to research in the field of marine technology	"Tier II
"	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	5	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	5	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	4	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	15	15.1.1	C150101	15.1.1 Forest area as a proportion of total land area	"Tier I
"	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	15	15.1.2	C150102	"15.1.2 Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"	"Tier I
"	114	114	114	57	114	57	114	114	114	114	57	57	114	114	57	114	114	114	114	114	114	114	57	114	114	114	114	114	114	114	114	57	114	114	114	114	114	114	57	114	114	57	114	57	57	114	57	114	57	114	114	114	57	114	114	114	114	114	114	114	114	114	57	114	57	57	114	57	114	114	0	114	57	114	114	114	114	114	114	114	114	114	114	57	114	114	0	114	114	114	57	114	114	114	57	114	114	57	57	114	114	114	114	114	57	114	57	57	57	114	0	114	114	114	114	114	57	114	57	114	114	57	114	114	114	114	114	57	57	57	114	57	57	114	0	114	114	114	57	57	57	114	114	114	57	57	57	0	57	114	57	114	57	114	57	114	114	114	114	114	114	114	114	114	114	57	114	114	114	114	114	57	57	57	57	114	114	114	0	114	114	114	114	114	114	0	114	114	114	114	57	114	114
